,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300144.SZ,20180404,20.33,20.87,20.33,20.53,20.32,0.21,1.03,84892.78,175300.14
1,300144.SZ,20180403,20.62,20.77,20.17,20.32,20.8,-0.48,-2.31,96576.33,196916.944
2,300144.SZ,20180402,21.02,21.12,20.65,20.8,20.89,-0.09,-0.43,98989.32,206531.733
3,300144.SZ,20180330,20.5,21.15,20.42,20.89,20.42,0.47,2.3,146805.37,305943.461
4,300144.SZ,20180329,19.88,20.57,19.88,20.42,19.86,0.56,2.82,119108.09,241481.894
5,300144.SZ,20180328,20.26,20.63,19.85,19.86,20.4,-0.54,-2.65,142126.44,286976.912
6,300144.SZ,20180327,19.95,20.5,19.84,20.4,19.69,0.71,3.61,125721.95,254512.324
7,300144.SZ,20180326,19.22,19.79,19.05,19.69,19.2,0.49,2.55,95743.18,186872.364
8,300144.SZ,20180323,19.11,19.8,19.06,19.2,19.68,-0.48,-2.44,112123.45,216926.132
9,300144.SZ,20180322,19.82,19.99,19.65,19.68,19.81,-0.13,-0.66,64809.35,128441.279
