,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002628.SZ,20180404,6.21,6.41,6.2,6.27,6.19,0.08,1.29,28000.6,17719.04
1,002628.SZ,20180403,6.36,6.36,6.19,6.19,6.39,-0.2,-3.13,33436.65,20832.401
2,002628.SZ,20180402,6.46,6.5,6.37,6.39,6.47,-0.08,-1.24,26686.03,17116.638
3,002628.SZ,20180330,6.2,6.5,6.17,6.47,6.18,0.29,4.69,53435.25,33880.875
4,002628.SZ,20180329,6.16,6.22,6.15,6.18,6.16,0.02,0.32,18322.35,11324.889
5,002628.SZ,20180328,6.24,6.3,6.14,6.16,6.28,-0.12,-1.91,24020.25,14950.709
6,002628.SZ,20180327,6.27,6.36,6.22,6.28,6.27,0.01,0.16,36278.81,22846.847
7,002628.SZ,20180326,6.09,6.35,6.02,6.27,6.2,0.07,1.13,28671.42,17684.161
8,002628.SZ,20180323,6.43,6.43,6.04,6.2,6.55,-0.35,-5.34,51785.83,32204.747
9,002628.SZ,20180322,6.52,6.58,6.48,6.55,6.52,0.03,0.46,18358.09,11971.218
