,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002628.SZ,20180427,5.79,5.83,5.64,5.8,5.79,0.01,0.17,30800.13,17617.104
1,002628.SZ,20180426,5.92,5.92,5.7,5.79,5.88,-0.09,-1.53,22750.02,13185.256
2,002628.SZ,20180425,5.87,5.96,5.87,5.88,5.92,-0.04,-0.68,11223.0,6623.13
3,002628.SZ,20180424,5.9,5.96,5.85,5.92,5.9,0.02,0.34,17925.03,10592.204
4,002628.SZ,20180423,5.85,5.92,5.6,5.9,5.86,0.04,0.68,40253.03,23329.646
5,002628.SZ,20180420,6.04,6.04,5.83,5.86,6.04,-0.18,-2.98,38482.01,22727.959
6,002628.SZ,20180419,6.1,6.1,6.01,6.04,6.08,-0.04,-0.66,20137.0,12188.564
7,002628.SZ,20180418,6.07,6.12,6.01,6.08,6.03,0.05,0.83,20227.03,12265.732
8,002628.SZ,20180417,6.22,6.25,6.03,6.03,6.22,-0.19,-3.05,32819.0,20083.951
9,002628.SZ,20180416,6.38,6.38,6.18,6.22,6.35,-0.13,-2.05,23639.47,14768.946
10,002628.SZ,20180413,6.3,6.4,6.28,6.35,6.32,0.03,0.47,28190.28,17924.356
11,002628.SZ,20180412,6.19,6.43,6.11,6.32,6.24,0.08,1.28,56282.84,35307.348
12,002628.SZ,20180411,6.28,6.33,6.2,6.24,6.27,-0.03,-0.48,30325.0,18917.967
13,002628.SZ,20180410,6.25,6.29,6.21,6.27,6.25,0.02,0.32,16656.0,10388.383
14,002628.SZ,20180409,6.27,6.3,6.2,6.25,6.27,-0.02,-0.32,17508.1,10937.887
15,002628.SZ,20180404,6.21,6.41,6.2,6.27,6.19,0.08,1.29,28000.6,17719.04
16,002628.SZ,20180403,6.36,6.36,6.19,6.19,6.39,-0.2,-3.13,33436.65,20832.401
17,002628.SZ,20180402,6.46,6.5,6.37,6.39,6.47,-0.08,-1.24,26686.03,17116.638
18,002628.SZ,20180330,6.2,6.5,6.17,6.47,6.18,0.29,4.69,53435.25,33880.875
19,002628.SZ,20180329,6.16,6.22,6.15,6.18,6.16,0.02,0.32,18322.35,11324.889
20,002628.SZ,20180328,6.24,6.3,6.14,6.16,6.28,-0.12,-1.91,24020.25,14950.709
21,002628.SZ,20180327,6.27,6.36,6.22,6.28,6.27,0.01,0.16,36278.81,22846.847
22,002628.SZ,20180326,6.09,6.35,6.02,6.27,6.2,0.07,1.13,28671.42,17684.161
23,002628.SZ,20180323,6.43,6.43,6.04,6.2,6.55,-0.35,-5.34,51785.83,32204.747
24,002628.SZ,20180322,6.52,6.58,6.48,6.55,6.52,0.03,0.46,18358.09,11971.218
25,002628.SZ,20180321,6.65,6.65,6.5,6.52,6.66,-0.14,-2.1,25514.02,16768.496
26,002628.SZ,20180320,6.48,6.78,6.35,6.66,6.48,0.18,2.78,38152.0,24966.209
27,002628.SZ,20180319,6.5,6.54,6.45,6.48,6.52,-0.04,-0.61,16040.5,10414.5
28,002628.SZ,20180316,6.46,6.7,6.41,6.52,6.43,0.09,1.4,32670.9,21460.769
29,002628.SZ,20180315,6.61,6.61,6.35,6.43,6.57,-0.14,-2.13,27042.0,17438.117
30,002628.SZ,20180314,6.6,6.64,6.55,6.57,6.6,-0.03,-0.45,21153.02,13939.773
31,002628.SZ,20180313,6.7,6.71,6.53,6.6,6.7,-0.1,-1.49,44568.14,29450.042
32,002628.SZ,20180312,6.43,7.0,6.41,6.7,6.46,0.24,3.72,84699.64,57018.987
33,002628.SZ,20180309,6.18,6.57,6.16,6.46,6.19,0.27,4.36,70453.24,45013.891
34,002628.SZ,20180308,6.18,6.21,6.13,6.19,6.18,0.01,0.16,29350.0,18129.527
35,002628.SZ,20180307,6.23,6.26,6.15,6.18,6.23,-0.05,-0.8,32787.44,20372.513
36,002628.SZ,20180306,6.25,6.27,6.2,6.23,6.26,-0.03,-0.48,37239.0,23202.704
37,002628.SZ,20180305,6.32,6.32,6.2,6.26,6.33,-0.07,-1.11,19159.0,11979.97
38,002628.SZ,20180302,6.35,6.41,6.32,6.33,6.38,-0.05,-0.78,15602.5,9914.266
39,002628.SZ,20180301,6.36,6.42,6.3,6.38,6.41,-0.03,-0.47,23060.7,14658.054
