,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000017.SZ,20180427,5.19,5.19,5.11,5.15,5.18,-0.03,-0.58,9812.97,5038.851
1,000017.SZ,20180426,5.23,5.23,5.11,5.18,5.24,-0.06,-1.15,18941.63,9764.122
2,000017.SZ,20180425,5.24,5.26,5.2,5.24,5.25,-0.01,-0.19,10610.62,5548.314
3,000017.SZ,20180424,5.18,5.28,5.17,5.25,5.17,0.08,1.55,19108.85,9985.689
4,000017.SZ,20180423,5.13,5.23,5.12,5.17,5.25,-0.08,-1.52,12044.35,6220.363
5,000017.SZ,20180420,5.29,5.3,5.1,5.25,5.27,-0.02,-0.38,23673.62,12336.213
6,000017.SZ,20180419,5.28,5.32,5.26,5.27,5.28,-0.01,-0.19,12619.75,6667.017
7,000017.SZ,20180418,5.28,5.38,5.18,5.28,5.25,0.03,0.57,16714.65,8800.208
8,000017.SZ,20180417,5.33,5.4,5.25,5.25,5.38,-0.13,-2.42,18540.0,9834.295
9,000017.SZ,20180416,5.44,5.45,5.27,5.38,5.45,-0.07,-1.28,21424.0,11477.868
10,000017.SZ,20180413,5.52,5.56,5.4,5.45,5.51,-0.06,-1.09,18207.0,9957.148
11,000017.SZ,20180412,5.59,5.61,5.5,5.51,5.61,-0.1,-1.78,19074.67,10568.71
12,000017.SZ,20180411,5.59,5.67,5.55,5.61,5.58,0.03,0.54,29663.29,16577.644
13,000017.SZ,20180410,5.58,5.63,5.51,5.58,5.54,0.04,0.72,26890.92,14926.961
14,000017.SZ,20180409,5.53,5.61,5.43,5.54,5.61,-0.07,-1.25,22028.64,12202.72
15,000017.SZ,20180404,5.57,5.65,5.48,5.61,5.52,0.09,1.63,35311.75,19650.955
16,000017.SZ,20180403,5.49,5.57,5.38,5.52,5.55,-0.03,-0.54,29125.33,15880.384
17,000017.SZ,20180402,5.6,5.62,5.53,5.55,5.59,-0.04,-0.72,27858.08,15558.746
18,000017.SZ,20180330,5.6,5.63,5.56,5.59,5.59,0.0,0.0,25402.0,14206.762
19,000017.SZ,20180329,5.52,5.67,5.51,5.59,5.52,0.07,1.27,29154.45,16279.764
20,000017.SZ,20180328,5.59,5.61,5.41,5.52,5.63,-0.11,-1.95,28219.0,15622.47
21,000017.SZ,20180327,5.57,5.76,5.53,5.63,5.56,0.07,1.26,42973.0,24299.106
22,000017.SZ,20180326,5.68,5.68,5.13,5.56,5.7,-0.14,-2.46,57792.14,31032.59
23,000017.SZ,20180323,5.81,6.23,5.6,5.7,5.99,-0.29,-4.84,87900.78,52100.966
24,000017.SZ,20180322,5.83,6.09,5.77,5.99,5.89,0.1,1.7,51981.06,30860.381
25,000017.SZ,20180321,5.94,6.22,5.89,5.89,5.97,-0.08,-1.34,65756.04,39674.855
26,000017.SZ,20180320,5.82,5.98,5.75,5.97,5.86,0.11,1.88,46560.37,27515.327
27,000017.SZ,20180319,5.84,5.89,5.72,5.86,5.91,-0.05,-0.85,37842.97,22045.917
28,000017.SZ,20180316,5.89,6.0,5.83,5.91,5.93,-0.02,-0.34,35035.33,20720.21
29,000017.SZ,20180315,5.89,6.05,5.8,5.93,5.91,0.02,0.34,61356.0,36488.924
30,000017.SZ,20180314,6.01,6.07,5.88,5.91,6.06,-0.15,-2.48,52173.34,31197.278
31,000017.SZ,20180313,6.16,6.16,6.05,6.06,6.18,-0.12,-1.94,59249.07,36061.649
32,000017.SZ,20180312,6.14,6.23,6.13,6.18,6.21,-0.03,-0.48,87759.2,54214.402
33,000017.SZ,20180309,6.16,6.34,6.03,6.21,6.38,-0.17,-2.66,148086.31,90889.505
34,000017.SZ,20180308,6.0,6.68,5.94,6.38,6.09,0.29,4.76,210523.26,133632.292
35,000017.SZ,20180307,5.46,6.09,5.46,6.09,5.54,0.55,9.93,128766.12,75813.407
36,000017.SZ,20180306,5.39,5.58,5.33,5.54,5.37,0.17,3.17,60952.36,33425.795
37,000017.SZ,20180305,5.42,5.47,5.34,5.37,5.48,-0.11,-2.01,24735.0,13308.317
38,000017.SZ,20180302,5.45,5.68,5.37,5.48,5.46,0.02,0.37,39042.96,21575.5
39,000017.SZ,20180301,5.4,5.48,5.36,5.46,5.42,0.04,0.74,20062.32,10888.341
40,000017.SZ,20180228,5.4,5.43,5.33,5.42,5.41,0.01,0.18,13837.57,7448.379
41,000017.SZ,20180227,5.44,5.45,5.35,5.41,5.45,-0.04,-0.73,16501.52,8893.671
42,000017.SZ,20180226,5.49,5.51,5.39,5.45,5.4,0.05,0.93,17632.8,9607.41
43,000017.SZ,20180223,5.36,5.41,5.34,5.4,5.39,0.01,0.19,12081.64,6491.154
44,000017.SZ,20180222,5.38,5.4,5.32,5.39,5.35,0.04,0.75,12791.84,6863.363
45,000017.SZ,20180214,5.28,5.38,5.25,5.35,5.28,0.07,1.33,12203.0,6498.091
46,000017.SZ,20180213,5.28,5.3,5.24,5.28,5.26,0.02,0.38,11601.58,6112.698
