,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000017.SZ,20180404,5.57,5.65,5.48,5.61,5.52,0.09,1.63,35311.75,19650.955
1,000017.SZ,20180403,5.49,5.57,5.38,5.52,5.55,-0.03,-0.54,29125.33,15880.384
2,000017.SZ,20180402,5.6,5.62,5.53,5.55,5.59,-0.04,-0.72,27858.08,15558.746
3,000017.SZ,20180330,5.6,5.63,5.56,5.59,5.59,0.0,0.0,25402.0,14206.762
4,000017.SZ,20180329,5.52,5.67,5.51,5.59,5.52,0.07,1.27,29154.45,16279.764
5,000017.SZ,20180328,5.59,5.61,5.41,5.52,5.63,-0.11,-1.95,28219.0,15622.47
6,000017.SZ,20180327,5.57,5.76,5.53,5.63,5.56,0.07,1.26,42973.0,24299.106
7,000017.SZ,20180326,5.68,5.68,5.13,5.56,5.7,-0.14,-2.46,57792.14,31032.59
8,000017.SZ,20180323,5.81,6.23,5.6,5.7,5.99,-0.29,-4.84,87900.78,52100.966
9,000017.SZ,20180322,5.83,6.09,5.77,5.99,5.89,0.1,1.7,51981.06,30860.381
